,title,date,content
0,국토종주 1일차 : 일산에서 여주까지 약 150km,2021.07.27.,"자전거를 취미/운동삼아 타던 어느날 문득 국토종주를 하고싶다는 생각이 들었습니다. 유튜브를 보면... 바보같이 여기 종주 인증수첩을 놔두고 와 버렸습니다. 이때가 오후 4시 쯤이었는데, 해가 넘어갈 때쯤이 되니 강물이..."
1,자전거 국토종주 그랜드슬램 메달 & 인증서,2021.08.03.,"국토완주 그랜드슬램 인증서는 4대강종주와 국토종주 그리고 제주환상, 동해안(강원과 경북길) ,섬진강길,북한강 의 인증수첩에 있는 자전거길을 모두 완주했을때 받을수 있답니다. 국토종주는 인천 아라 서해갑문에서..."
2,하루에 6만보 걸어서 진해 창원 마산까지 울면서국토종주,2021.08.17.,주셨습니다 국토종주같이 훌륭한일인데...하시면서 사실 조금 부끄러웠습니다 오늘은 부산에서 나오는데 대나무로 가로수를 만들었어요 이젠....해남땅끝마을까지인데 오늘은 정말이지 팍 집에 가고 싶었습니다 덥고...
3,부산 자전거여행｜낙동강 하구둑 자전거 국토종주 인증센터,4일 전,행정자치부와 국토교통부에서는 2012년 4월 22일부터 '국토종주인증제'를 시행하여 자전거길 종주 사실을 공식적으로 인정해주고 있습니다. 다양한 코스 만큼이나 곳곳에서 인증센터를 만나볼 수 있는데요. 부산...
4,자전거 국토종주 3일차 (칠곡보 ~ 창녕함안보) - #0003,2021.06.14.,국토종주 3일차 칠곡보 → 창녕함안보 드디어 국토종주의 마지막날 아침이 밝았다. 김해에 거주하는 덕분에 낙동강하굿둑에서부터 창녕함안보까지는 예전부터 몇번이나 오가며 인증을 완료하였던터라 남들보다 에너지를...
5,국토종주 영산강 자전거길 투어 라이딩 1일차 (담양에서 나주까지),2021.05.28.,"국토종주 영산강 자전거길 투어 라이딩 1일차 (담양에서 나주까지) 운동하며 여행하는 아저씨... #담양댐인증센터 앞쪽에 주차를 하고, 환복 후 13시쯤 종주를 시작했어요. 담양댐인증센터를 출발해서 7km. 약 20분가량..."
6,8월 07일 ~ 10일까지 인천 - 부산 국토종주 다녀왔습니다.,2021.08.17.,우연히 국토종주를 다녀온 지인이 자연좋아하고 경치 풍경보는걸 좋아하면 국토종주 한번쯤은 추천한다는 말을 듣고 도전하게 되었습니다. 자전거를 취미로 가질 생각 보다는 '국토종주만 하고 말아야지' 라는 생각에...
7,[바이크] 섬진강 & 영산강 자전거 국토종주,2021.06.10.,"남쪽을 여행해본 경험이 많이 없는지라, 이번 기회에 국토종주 인증수첩과 함께 여행 계획을 짜보았어요.이번 여행은 4박 5일로 섬진강 코스와 영산강 코스를 거쳐 가도록짜보았는데요, 자전거 투어링 전문가 고양..."
8,서울-부산 자전거 국토종주 후기(Part.3),7일 전,"쫄리는(?) 구간이 많았기에 이런 큰 도로들은 한밤중에 가고, 주간에는 우회도로를 타는 방법으로 해결했습니다. 언젠가는 다른 종주 후기글로 찾아오겠습니다. 검색어 자전거 국토종주 서울-부산 자전거 서울-부산 국토종주"
9,자전거 국토종주 라이딩 여주-충주(ft. 초딩6호) 1/2,2021.06.23.,"봄날, 국토종주의 시간이 밝았습니다. 때는 바야흐로 큰 상전인 중딩2호의 인생 첫 중간고사 시즌. 가정 내 평화로운 파이팅 열공 모드를 위해 중전마마의 명을 받들어 작은 상전인 초딩6호를 모시고 국토종주 장거리..."
